Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
39.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.45705 -12.75010 8.56819 1.56877 0.88542 35.09210 0.05844 -1.18396 4.94296 5.69682 -22.61080 19.76070 -2.66185 4.81071 9.15212 -1.94148 6.15030 3.09946
40.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.58413 -12.91890 7.92719 1.70751 0.44650 35.05140 0.09703 -1.02415 4.78722 4.78003 -22.43220 15.65550 -2.35776 4.84727 9.35377 -1.90655 6.40769 2.84315
41.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.69498 -13.06620 7.29040 1.89627 -0.01166 34.97200 0.12986 -0.91940 4.67324 3.82091 -22.30190 11.63340 -2.00356 4.91074 9.53074 -1.83533 6.56906 2.56150
42.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.78119 -13.21150 6.65264 2.12945 -0.43483 34.84960 0.14671 -0.82217 4.62679 2.83135 -22.31210 7.76765 -1.61012 4.99119 9.68437 -1.67921 6.66703 2.19324
43.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.83519 -13.35840 6.02439 2.38119 -0.77707 34.67320 0.14109 -0.70119 4.67409 1.83791 -22.51150 4.17218 -1.20323 5.08894 9.81175 -1.48985 6.72009 1.74106
44.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.85632 -13.50070 5.42874 2.61267 -1.00711 34.45630 0.10743 -0.54756 4.83814 0.91145 -22.89810 1.02306 -0.79175 5.20609 9.91075 -1.38571 6.70801 1.27293
45.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.85072 -13.64170 4.88440 2.78471 -1.10724 34.24940 0.04038 -0.34475 5.13115 0.15414 -23.43430 -1.45782 -0.34631 5.33131 9.97909 -1.45553 6.59037 0.88728
46.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.82638 -13.79540 4.39776 2.86849 -1.09295 34.12030 -0.06093 -0.07692 5.55238 -0.34701 -24.04180 -3.05363 0.16162 5.46557 10.01030 -1.67221 6.35458 0.66856
47.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.78639 -13.97500 3.96222 2.85929 -1.00635 34.11710 -0.19357 0.25120 6.09231 -0.54952 -24.60590 -3.64005 0.74211 5.62251 9.99805 -1.98669 6.05520 0.66207
48.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.72638 -14.18860 3.55858 2.77554 -0.89441 34.23640 -0.35461 0.61466 6.73598 -0.47063 -24.98100 -3.24097 1.39160 5.82149 9.93139 -2.37195 5.76971 0.86942
49.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.63975 -14.44770 3.15902 2.64554 -0.79753 34.40760 -0.54468 0.99202 7.46540 -0.16329 -25.07870 -2.04432 2.10758 6.08369 9.79058 -2.78569 5.57329 1.25476
50.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.51548 -14.74560 2.74432 1.62262 -0.41428 35.07650 -0.76680 1.35173 8.26662 0.82230 -23.21260 1.48382 2.88044 6.42875 9.54955 -3.64947 5.53966 1.80755
51.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.34019 -15.05650 2.31510 1.48491 -0.36307 34.81340 -1.02927 1.65585 9.13683 1.23360 -23.03700 2.94535 3.70034 6.86860 9.18049 -3.93952 5.55766 1.91250
52.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.10187 -15.34640 1.89554 1.44044 -0.28136 34.29810 -1.34609 1.87181 10.09030 1.52399 -22.87850 3.91058 4.56114 7.39484 8.65733 -4.28736 5.45732 1.32044
53.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.78485 -15.55590 1.54666 1.52388 -0.10004 33.61160 -1.72734 1.95166 11.16200 1.63442 -22.72980 4.18329 5.44526 7.97516 7.94761 -4.62117 5.00360 -0.00907
54.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.38782 -15.63770 1.34602 1.71851 0.16272 32.93590 -2.16837 1.84930 12.40520 1.67379 -22.32410 4.21131 6.31655 8.55821 7.01581 -4.73700 4.08894 -1.44896
55.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.06657 -15.59300 1.34004 1.97241 0.34819 32.47220 -2.63619 1.51020 13.88770 1.84362 -21.46240 4.74672 7.11022 9.11840 5.83223 -4.54114 2.95646 -2.36436
